what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.j2ee,1.1.404.v201102081800,"org.eclipse.jst.j2ee",1375128623062
opened,editor,com.android.ide.eclipse.adt,22.0.0.v201305140200--675183,"com.android.ide.eclipse.editors.CommonXmlEditor",1375128623159
started,bundle,org.eclipse.jem.workbench,2.0.300.v200910290230,"org.eclipse.jem.workbench",1375128623446
activated,editor,com.android.ide.eclipse.adt,22.0.0.v201305140200--675183,"com.android.ide.eclipse.editors.CommonXmlEditor",1375128623663
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1375128624397
started,bundle,com.amazonaws.eclipse.sdk.ui,2.0.0.v201206251220,"com.amazonaws.eclipse.sdk.ui",1375128625044
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1375128625868
started,bundle,org.eclipse.cdt.make.core,7.0.1.201102110609,"org.eclipse.cdt.make.core",1375128627210
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.2.201102110609,"org.eclipse.cdt.managedbuilder.core",1375128628131
started,bundle,org.eclipse.cdt.core,5.2.1.201102110609,"org.eclipse.cdt.core",1375128629245
started,bundle,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui",1375128629802
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1375128630211
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1375128641311
started,bundle,org.eclipse.jst.jee,1.0.302.v201101122300,"org.eclipse.jst.jee",1375128641371
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1375128773513
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1375128773666
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1375128773670
